	Native English speaker(Y/N)	Course instructor	Course	Summer or regular semester	Class size	Class attribute	Class attribute numeric
0	True	23	3	Summer	19	high	3
1	False	15	3	Summer	17	high	3
2	True	23	3	Regular	49	high	3
3	True	5	2	Regular	33	high	3
4	False	7	11	Regular	55	high	3
5	False	23	3	Summer	20	high	3
6	False	9	5	Regular	19	high	3
7	False	10	3	Regular	27	high	3
8	True	22	3	Summer	58	high	3
9	False	15	3	Summer	20	high	3
10	False	10	22	Regular	9	high	3
11	False	13	1	Regular	30	high	3
12	False	18	21	Regular	29	high	3
13	False	6	17	Regular	39	high	3
14	False	6	17	Regular	42	medium	2
15	False	6	17	Regular	43	medium	2
16	False	7	11	Regular	10	medium	2
17	False	22	3	Regular	46	medium	2
18	False	13	3	Summer	10	medium	2
19	False	7	25	Regular	42	medium	2
20	False	25	7	Regular	27	medium	2
21	False	25	7	Regular	23	medium	2
22	False	2	9	Regular	31	medium	2
23	False	1	15	Summer	22	medium	2
24	False	15	13	Regular	37	medium	2
25	False	7	11	Regular	13	medium	2
26	False	8	3	Regular	24	medium	2
27	False	14	15	Regular	38	medium	2
28	False	21	2	Regular	42	low	1
29	False	22	3	Regular	28	low	1
30	False	11	1	Regular	51	low	1
31	False	18	5	Regular	19	low	1
32	False	13	1	Regular	31	low	1
33	True	13	3	Summer	13	low	1
34	False	5	2	Regular	37	low	1
35	False	16	8	Regular	36	low	1
36	False	4	16	Regular	21	low	1
37	False	5	2	Regular	48	low	1
38	False	14	15	Regular	38	low	1
39	True	23	3	Summer	19	high	3
40	False	15	3	Summer	17	high	3
41	True	23	3	Regular	49	high	3
42	True	5	2	Regular	33	high	3
43	False	7	11	Regular	55	high	3
44	False	23	3	Summer	20	high	3
45	False	9	5	Regular	19	high	3
46	False	10	3	Regular	27	high	3
47	True	22	3	Regular	58	high	3
48	False	15	3	Summer	20	high	3
49	False	10	22	Regular	9	high	3
50	False	13	1	Regular	30	high	3
51	False	18	21	Regular	29	high	3
52	False	6	17	Regular	39	high	3
