Time,George Simion: (Romania),Elena-Valerica Lasconi: (Romania),Crin Antonescu: (Romania),Victor Ponta: (Romania),Nicusor Dan: (Romania)
2025-03-22T11,7,3,6,5,12
2025-03-22T12,5,0,5,7,12
2025-03-22T13,9,4,5,9,14
2025-03-22T14,11,4,6,9,19
2025-03-22T15,11,4,9,7,18
2025-03-22T16,9,2,6,7,18
2025-03-22T17,11,4,8,7,16
2025-03-22T18,10,4,8,7,18
2025-03-22T19,12,3,9,8,20
2025-03-22T20,10,5,9,6,20
2025-03-22T21,11,3,6,7,17
2025-03-22T22,11,3,7,6,16
2025-03-22T23,11,4,6,8,14
2025-03-23T00,9,6,6,7,18
2025-03-23T01,8,0,0,0,20
2025-03-23T02,0,0,0,0,0
2025-03-23T03,0,0,0,0,0
2025-03-23T04,0,0,0,0,0
2025-03-23T05,0,0,0,0,0
2025-03-23T06,11,0,0,0,0
2025-03-23T07,8,0,5,0,8
2025-03-23T08,9,4,5,4,13
2025-03-23T09,6,0,6,6,12
2025-03-23T10,7,3,6,7,12
2025-03-23T11,12,4,7,6,10
2025-03-23T12,10,3,8,6,13
2025-03-23T13,10,4,6,7,16
2025-03-23T14,10,4,6,9,15
2025-03-23T15,11,3,8,6,19
2025-03-23T16,14,3,7,7,13
2025-03-23T17,15,3,5,8,14
2025-03-23T18,9,4,8,8,14
2025-03-23T19,13,3,8,8,16
2025-03-23T20,13,0,7,16,17
2025-03-23T21,15,4,6,26,13
2025-03-23T22,16,3,7,14,12
2025-03-23T23,9,4,8,11,14
2025-03-24T00,10,0,0,6,11
2025-03-24T01,10,0,10,12,0
2025-03-24T02,17,0,0,0,0
2025-03-24T03,0,0,0,0,0
2025-03-24T04,0,0,0,0,0
2025-03-24T05,0,0,0,0,0
2025-03-24T06,7,0,0,8,0
2025-03-24T07,10,0,4,8,7
2025-03-24T08,7,0,3,7,8
2025-03-24T09,6,2,5,6,9
2025-03-24T10,9,3,6,7,10
2025-03-24T11,9,3,5,8,10
2025-03-24T12,9,2,5,7,8
2025-03-24T13,8,4,7,8,10
2025-03-24T14,9,2,5,9,10
2025-03-24T15,9,4,6,7,21
2025-03-24T16,8,0,5,7,13
2025-03-24T17,8,3,6,6,13
2025-03-24T18,8,3,7,8,18
2025-03-24T19,11,5,51,11,21
2025-03-24T20,7,3,9,10,20
2025-03-24T21,9,2,9,9,19
2025-03-24T22,8,3,10,8,21
2025-03-24T23,10,0,6,8,14
2025-03-25T00,7,0,6,7,23
2025-03-25T01,13,0,0,11,16
2025-03-25T02,0,0,0,0,0
2025-03-25T03,0,0,0,0,0
2025-03-25T04,0,0,0,0,0
2025-03-25T05,0,0,0,0,0
2025-03-25T06,0,0,5,5,8
2025-03-25T07,7,3,8,6,14
2025-03-25T08,5,2,7,6,12
2025-03-25T09,5,3,8,5,13
2025-03-25T10,8,0,8,7,14
2025-03-25T11,7,3,8,6,14
2025-03-25T12,8,2,7,7,15
2025-03-25T13,9,2,7,7,13
2025-03-25T14,6,2,7,8,12
2025-03-25T15,9,3,8,39,17
2025-03-25T16,6,0,6,11,12
2025-03-25T17,7,2,8,9,12
2025-03-25T18,8,2,6,10,11
2025-03-25T19,10,3,20,10,41
2025-03-25T20,10,3,14,9,19
2025-03-25T21,12,2,8,12,18
2025-03-25T22,11,0,10,8,19
2025-03-25T23,7,3,7,10,12
2025-03-26T00,7,0,10,8,14
2025-03-26T01,0,0,0,12,0
2025-03-26T02,0,0,0,0,18
2025-03-26T03,0,0,0,0,0
2025-03-26T04,0,0,0,0,0
2025-03-26T05,0,0,0,0,0
2025-03-26T06,16,0,7,0,11
2025-03-26T07,5,0,5,5,11
2025-03-26T08,6,0,6,7,14
2025-03-26T09,7,0,5,6,14
2025-03-26T10,5,0,4,5,9
2025-03-26T11,8,2,5,5,10
2025-03-26T12,7,2,6,6,10
2025-03-26T13,8,4,9,9,10
2025-03-26T14,10,2,5,7,8
2025-03-26T15,8,3,5,12,13
2025-03-26T16,9,4,5,7,9
2025-03-26T17,8,3,5,8,9
2025-03-26T18,16,3,6,6,10
2025-03-26T19,12,0,7,10,12
2025-03-26T20,11,3,14,11,11
2025-03-26T21,9,3,5,8,11
2025-03-26T22,9,3,7,8,12
2025-03-26T23,11,0,13,10,15
2025-03-27T00,9,0,6,8,7
2025-03-27T01,0,0,0,11,0
2025-03-27T02,0,0,0,0,0
2025-03-27T03,0,0,0,0,0
2025-03-27T04,0,0,0,0,0
2025-03-27T05,0,0,0,0,0
2025-03-27T06,12,0,6,0,0
2025-03-27T07,4,0,4,5,8
2025-03-27T08,5,0,5,5,7
2025-03-27T09,6,3,6,6,7
2025-03-27T10,7,2,4,5,8
2025-03-27T11,7,2,5,5,8
