text1,text2,similaritate_cosinus,similaritate_fuzz_ratio,similaritate_jaccard,distanta_levenshtein
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Clinical Characteristics of Coronavirus Disease 2019 in China,0.22283630838462368,43,0.125,87
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,0.18253742784769658,41,0.1282051282051282,148
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,0.14172193238163136,31,0.07692307692307693,100
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Dexamethasone in Hospitalized Patients with Covid-19,0.17393031963457103,36,0.08695652173913043,95
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",An interactive web-based dashboard to track COVID-19 in real time,0.06739733305526857,39,0.07407407407407407,94
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.07391968070162921,32,0.08,98
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.21220555231229954,49,0.10714285714285714,87
"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",Antibody responses to SARS-CoV-2 in patients with COVID-19,0.13313713724933302,41,0.125,92
Clinical Characteristics of Coronavirus Disease 2019 in China,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,0.4098308539552776,40,0.2692307692307692,151
Clinical Characteristics of Coronavirus Disease 2019 in China,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,0.05730544249177722,31,0.0625,49
Clinical Characteristics of Coronavirus Disease 2019 in China,Dexamethasone in Hospitalized Patients with Covid-19,0.059614100943225334,34,0.07692307692307693,50
Clinical Characteristics of Coronavirus Disease 2019 in China,An interactive web-based dashboard to track COVID-19 in real time,0.035891389853430884,37,0.058823529411764705,54
Clinical Characteristics of Coronavirus Disease 2019 in China,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.05326320724606974,33,0.06666666666666667,49
