Comment,Author,Published At,Updated At,Like Count,Text_Curat,Sentiment_TextBlob,Sentiment_NLTK,Sentiment_VADER,Sentiment_HF_Label,Sentiment_HF_Score
"Thanks for Sharing and Subscribing. 🙏Enjoy more Ambient Choir Music in this Playlist:<br><a href=""https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt"">https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt</a>",@AmbientMusicParadise,2023-01-29T13:39:49Z,2023-01-29T13:39:49Z,39,thanks for sharing and subscribing enjoy more ambient choir music in this playlistbra hrefhttpswwwyoutubecomplaylistlistplvwtdtabjuaybhgzylqoncmetivijthttpswwwyoutubecomplaylistlistplvwtdtabjuaybhgzylqoncmetivijta,0.3666666666666667,0.836,0.836,POSITIVE,0.9927781224250793
🇺🇸❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😴 makes me sleepy easily,@catherineramos8371,2024-01-10T06:20:39Z,2024-01-10T06:20:39Z,0,makes me sleepy easily,0.43333333333333335,0.34,0.34,NEGATIVE,0.9892399311065674
"I was listening to the Abby Choir &#39;Little Drummer boy&#39; , then this popped up.. Im so happy it did!!!  Merry CHRISTmas , Happy New Yr!!!!",@antifatbastard,2024-01-01T05:32:14Z,2024-01-01T05:32:14Z,1,i was listening to the abby choir little drummer boy  then this popped up im so happy it did  merry christmas  happy new yr,0.3872159090909091,0.9323,0.9176,POSITIVE,0.9997885823249817
what a magic music,@sohailasohaila129,2023-12-31T22:56:18Z,2023-12-31T22:56:18Z,1,what a magic music,0.5,0.0,0.0,POSITIVE,0.999842643737793
"Listening at about <a href=""https://www.youtube.com/watch?v=mN6WesqrhcA&amp;t=48m50s"">48:50</a> and wondering what language the choir is singing in",@christielyons5079,2023-12-31T21:46:17Z,2023-12-31T21:46:17Z,1,listening at about a hrefhttpswwwyoutubecomwatchvmnwesqrhcaamptmsa and wondering what language the choir is singing in,0.0,0.0,0.0,NEGATIVE,0.9737499952316284
"I would have liked it better with words. Some of the music sounded like German. As a choir member, I love these traditional songs and I like to sing along. That wasn&#39;t possible.",@bonnie9511,2023-12-31T17:33:45Z,2023-12-31T17:33:45Z,1,i would have liked it better with words some of the music sounded like german as a choir member i love these traditional songs and i like to sing along that wasnt possible,0.26666666666666666,0.9313,0.9313,POSITIVE,0.5259444117546082
"Why does the list not go further than the first 40 minutes? It becomes a sort quiz, not nice for ESL people",@albertvanv,2023-12-31T00:09:57Z,2023-12-31T00:09:57Z,0,why does the list not go further than the first  minutes it becomes a sort quiz not nice for esl people,-0.016666666666666663,-0.3252,-0.3252,NEGATIVE,0.9998146891593933
Impossible to outgrow this.  Thanks from Ireland. Nollaig Shona go léir.,@duibheasaoreilly167,2023-12-30T21:52:34Z,2023-12-30T21:52:34Z,1,impossible to outgrow this  thanks from ireland nollaig shona go lir,-0.2333333333333333,0.5228,0.5228,NEGATIVE,0.5058846473693848
Soo beautiful.,@MsSouthard1,2023-12-30T18:20:47Z,2023-12-30T18:20:47Z,1,soo beautiful,0.85,0.5994,0.5994,POSITIVE,0.9996641874313354
Great to listen to throughout the 12 days of Christmas  beginning after Midnight Mass on December 25th. <br>Dominus tecum!,@mottledbrain,2023-12-29T02:35:16Z,2023-12-29T02:35:16Z,2,great to listen to throughout the  days of christmas  beginning after midnight mass on december th brdominus tecum,0.8,0.6249,0.6249,POSITIVE,0.9975807666778564
I never knew there was so much foot work involved 🤯👍🏽,@01dimster,2023-12-28T22:35:25Z,2023-12-28T22:35:25Z,0,i never knew there was so much foot work involved,0.2,0.0,0.0,NEGATIVE,0.8208804130554199
Praise to our God of hope in Christ Jesus our Lord of Lord&#39;s! Thank You for blessing so many with this wonderful music and vocals!,@sanfordhelmuth8600,2023-12-28T13:06:17Z,2023-12-28T13:06:17Z,1,praise to our god of hope in christ jesus our lord of lords thank you for blessing so many with this wonderful music and vocals,0.75,0.9564,0.9564,POSITIVE,0.9998694658279419
There are no crosses on any of the churches. 😳,@BenjaminIstvanCseko,2023-12-28T09:44:23Z,2023-12-28T09:44:23Z,0,there are no crosses on any of the churches,0.0,-0.296,-0.296,NEGATIVE,0.997846245765686
"Sung by the ChatGTP choir? AI is taking over everything, even christmas carols....sounds nice as background music though.",@charleshultquist9233,2023-12-27T17:17:17Z,2023-12-27T17:17:17Z,0,sung by the chatgtp choir ai is taking over everything even christmas carolssounds nice as background music though,0.6,0.4215,0.4215,POSITIVE,0.9785842299461365
Half to two thirds we would wit b ge ab he wit th ac ev yo welco si,@debrakatrena9767,2023-12-27T17:12:15Z,2023-12-27T17:12:15Z,0,half to two thirds we would wit b ge ab he wit th ac ev yo welco si,-0.16666666666666666,0.0,0.0,NEGATIVE,0.9837225079536438
Nie można piękniej wielbić Narodzin Naszego Pana.,@zbigniewmilewicz8007,2023-12-26T15:25:44Z,2023-12-26T15:25:44Z,2,nie mona pikniej wielbi narodzin naszego pana,0.0,0.0,0.0,NEGATIVE,0.9651820063591003
"Beautiful music!!! The pro Israel ad I could have done without but, hey! It’s Yule, good will toward everyone",@BenjaminHasko,2023-12-26T02:53:36Z,2023-12-26T02:53:36Z,0,beautiful music the pro israel ad i could have done without but hey its yule good will toward everyone,0.7749999999999999,0.743,0.743,POSITIVE,0.9997063279151917
I am 80,@michaelhemkendreis432,2023-12-26T01:16:14Z,2023-12-26T01:16:14Z,0,i am,0.0,0.0,0.0,POSITIVE,0.9991477727890015
Bas sig mas,@debrakatrena9767,2023-12-25T22:36:51Z,2023-12-25T22:36:51Z,0,bas sig mas,0.0,0.0,0.0,POSITIVE,0.7468649744987488
MAs a1,@debrakatrena9767,2023-12-25T22:33:48Z,2023-12-25T22:33:48Z,0,mas a,0.0,0.0,0.0,NEGATIVE,0.9988054037094116
THANK YOU!!!!!!!!!!!!!!,@user-kl4hd2rz1l,2023-12-25T22:20:08Z,2023-12-25T22:20:08Z,2,thank you,0.0,0.3612,0.3612,POSITIVE,0.9998352527618408
"Fabulous (and interesting) arrangement of this lovely carol! Sam never disappoints! Thank you, Sam, and Merry Christmas!",@gaylesuggs8523,2023-12-25T17:02:15Z,2023-12-25T17:02:15Z,2,fabulous and interesting arrangement of this lovely carol sam never disappoints thank you sam and merry christmas,0.4666666666666666,0.9346,0.9346,POSITIVE,0.9998910427093506
Lpve christmas music but what language is it?,@julianjohns2626,2023-12-25T06:04:24Z,2023-12-25T06:04:24Z,1,lpve christmas music but what language is it,0.0,0.0,0.0,NEGATIVE,0.9868537187576294
Praise The Lord The Savior has been born Merry Christmas,@Slav_0282,2023-12-24T17:15:54Z,2023-12-24T17:15:54Z,2,praise the lord the savior has been born merry christmas,0.0,0.7964,0.7964,POSITIVE,0.9997847676277161
prachtige en rustgevende muziek heerlijk om naar te luisteren MIJN  dank oprecht<br><br>GERARD JOCHES TENOR,@gerardjochems3511,2023-12-24T16:05:42Z,2023-12-24T16:05:42Z,0,prachtige en rustgevende muziek heerlijk om naar te luisteren mijn  dank oprechtbrbrgerard joches tenor,0.0,0.0,0.0,NEGATIVE,0.9270057082176208
Ευχαριστούμε!,@annaplessa9261,2023-12-24T03:45:54Z,2023-12-24T03:45:54Z,2,,0.0,0.0,0.0,POSITIVE,0.7481208443641663
"Thank you, you made my Christmas atmosphere perfect!",@danolson6476,2023-12-23T18:52:11Z,2023-12-23T18:52:11Z,3,thank you you made my christmas atmosphere perfect,1.0,0.7351,0.7351,POSITIVE,0.9998764991760254
Love all of these songs. Merry Christmas to all. ❤,@user-er9ws3st6d,2023-12-23T07:34:35Z,2023-12-23T07:34:35Z,3,love all of these songs merry christmas to all,0.5,0.8271,0.8271,POSITIVE,0.9998817443847656
I love this classical sound!<br>The choir has beautiful singing! I’m sharing will all my Christian friends.✝️,@corneliacarden4344,2023-12-22T19:04:13Z,2023-12-22T19:04:13Z,4,i love this classical soundbrthe choir has beautiful singing im sharing will all my christian friends,0.3375,0.9325,0.9325,POSITIVE,0.9998181462287903
Thank you.,@paulzsoka9037,2023-12-22T07:33:11Z,2023-12-22T07:33:11Z,2,thank you,0.0,0.3612,0.3612,POSITIVE,0.9998352527618408
"Praying for all those who, like me, are alone, no family left. May Christ be near.<br>🙏🙏🙏",@laj2240,2023-12-21T16:44:48Z,2023-12-21T16:44:48Z,10,praying for all those who like me are alone no family left may christ be nearbr,0.0,0.2023,0.2023,NEGATIVE,0.9916883111000061
"Feels like Angels singing healing to us 😊<br>Praying for all of my brethren in Christ 🙏💙<br>And thank you for making this, all who were involved! 💛",@rebeccaclements2404,2023-12-21T05:35:15Z,2023-12-21T05:35:15Z,6,feels like angels singing healing to us brpraying for all of my brethren in christ brand thank you for making this all who were involved,0.0,0.6124,0.6124,POSITIVE,0.9995052814483643
God bless everyone this Season 🙏  RIP James Pierce ❤😢  I wished we could have spoken to each other one last time💔 prayers for your family❤🙏 ❤,@user-xr6em4ld9n,2023-12-20T21:06:23Z,2023-12-20T21:06:23Z,1,god bless everyone this season   rip james pierce   i wished we could have spoken to each other one last time prayers for your family,-0.0625,0.5994,0.5994,POSITIVE,0.9607632160186768
May God continue to bless and keep you! 😊👏🎁🎵🎶🎤,@maryrhodes9447,2023-12-20T17:32:02Z,2023-12-20T17:32:02Z,9,may god continue to bless and keep you,0.0,0.5994,0.5994,POSITIVE,0.9995874762535095
"Christmas🎉music brings the memory of Christ,s birth bringing joy and salvation to the world.<br>May the joy and peace of Christmas fill you and your entire house and the entire universe.<br>Emmanuel! Christ is with us",@OsendaBernard,2023-12-19T12:58:25Z,2023-12-19T12:58:25Z,1,christmasmusic brings the memory of christs birth bringing joy and salvation to the worldbrmay the joy and peace of christmas fill you and your entire house and the entire universebremmanuel christ is with us,0.4,0.9022,0.9022,POSITIVE,0.9997186064720154
Beautiful music. No words to describe the joy within me!,@AngelaVel-ve9vz,2023-12-17T23:22:11Z,2023-12-17T23:22:11Z,2,beautiful music no words to describe the joy within me,0.825,0.7579,0.7579,POSITIVE,0.9985743761062622
Beautiful Christmas muziek and a beautiful song and background LG Elisabeth and Joep...👼👼🎅🤶🧑‍🎄,@ElisabethKlaassen,2023-12-17T11:44:01Z,2023-12-17T11:44:01Z,1,beautiful christmas muziek and a beautiful song and background lg elisabeth and joep,0.85,0.8316,0.8316,POSITIVE,0.9998058676719666
No se oye lo que cantan,@Alternivma,2023-12-16T19:28:22Z,2023-12-16T19:28:22Z,0,no se oye lo que cantan,0.0,-0.296,-0.296,NEGATIVE,0.989247739315033
"awful, like they don&#39;t know the lyrics at all... 3 hours for 10 songs??",@cathywilson3551,2023-12-16T18:00:33Z,2023-12-16T18:00:33Z,0,awful like they dont know the lyrics at all  hours for  songs,-1.0,-0.128,-0.128,NEGATIVE,0.9997430443763733
It&#39;s so touching musics for my deep heart and glorify the redeemer..,@OppoA-et7zg,2023-12-16T16:53:20Z,2023-12-16T18:36:25Z,1,its so touching musics for my deep heart and glorify the redeemer,0.25,0.5719,0.836,POSITIVE,0.9998219609260559
Is this a choir or a keyboard?,@hopefuldad,2023-12-16T10:01:10Z,2023-12-16T10:01:10Z,0,is this a choir or a keyboard,0.0,0.0,0.0,NEGATIVE,0.5817034244537354
I am 90years and loving these beautiful carols.,@MargotChristie-or4es,2023-12-15T22:40:09Z,2023-12-15T22:40:09Z,4,i am years and loving these beautiful carols,0.725,0.8316,0.8316,POSITIVE,0.9998761415481567
I really don’t mind if the choir is singing in a different language because most people know the music all over the world! Have a blessed Christmas and a happy new year to you all!,@ettaesch4050,2023-12-12T21:17:47Z,2023-12-12T21:17:47Z,9,i really dont mind if the choir is singing in a different language because most people know the music all over the world have a blessed christmas and a happy new year to you all,0.32727272727272727,0.8225,0.8225,POSITIVE,0.999276340007782
Thank you so much for this beautiful Christmas music. Really calming and graceful ❤,@lavernebryant7857,2023-12-12T15:52:43Z,2023-12-12T15:52:43Z,9,thank you so much for this beautiful christmas music really calming and graceful,0.4166666666666667,0.9243,0.9243,POSITIVE,0.9998745918273926
Sounds like angels,@maryburt8747,2023-12-12T01:40:33Z,2023-12-12T01:40:33Z,2,sounds like angels,0.0,0.3612,0.3612,POSITIVE,0.9965850114822388
thats What I&#39;m talking about!           <br><br>                         <b>Classic</b>,@clarkkent3730,2023-12-12T01:17:28Z,2023-12-12T01:17:28Z,1,thats what im talking about           brbr                         bclassicb,0.0,0.0,0.0,NEGATIVE,0.9715267419815063
This is so beautiful 😎🙏❤️,@theculturedbumpkin,2023-12-11T17:46:16Z,2023-12-11T17:46:16Z,6,this is so beautiful,0.85,0.7177,0.7177,POSITIVE,0.9998801946640015
💚,@candyland4021,2023-12-09T20:35:50Z,2023-12-09T20:35:50Z,1,,0.0,0.0,0.0,POSITIVE,0.7481208443641663
Thank you  our lady of Fatima.   We love you.   Let us all. Thank his mother.  Joanpennington.   Roe. 🌿🌲🌲🌿🏆🌿😊😊,@joanroe7770,2023-12-08T03:33:25Z,2023-12-08T03:33:25Z,1,thank you  our lady of fatima   we love you   let us all thank his mother  joanpennington   roe,0.5,0.8481,0.8481,POSITIVE,0.9997190833091736
I found this music.   When i. Really needed it.  Beautiful.    Our lady of medjGorie.   Pray for us.  🌲🌿🎄🏆🏆🏆🏆🏆🌿Joanpennington.  Roe.,@joanroe7770,2023-12-08T03:30:54Z,2023-12-08T03:30:54Z,1,i found this music   when i really needed it  beautiful    our lady of medjgorie   pray for us  joanpennington  roe,0.525,0.7553,0.7553,POSITIVE,0.9958661794662476
This glorious choir singing the Christmas carols of my youth causes me to cherish my Christian heritage. It is a deeply beautiful heritage...may we continue to honor it by remembering the Spirit of Christmas...the journey to the Holy City for the birth of the Light.,@anatille,2023-12-08T00:21:00Z,2023-12-08T00:24:07Z,10,this glorious choir singing the christmas carols of my youth causes me to cherish my christian heritage it is a deeply beautiful heritagemay we continue to honor it by remembering the spirit of christmasthe journey to the holy city for the birth of the light,0.4166666666666667,0.9422,0.9422,POSITIVE,0.9998685121536255
"In the summer I was diagnosed with prostate cancer at 76, no cure. I wonder how long I have to enjoy this special time of year and the beautiful music.",@magnuswalker7957,2023-12-07T18:43:39Z,2023-12-07T18:43:39Z,7,in the summer i was diagnosed with prostate cancer at  no cure i wonder how long i have to enjoy this special time of year and the beautiful music,0.3892857142857143,0.561,0.561,POSITIVE,0.9995890259742737
"So glad the internet brings quality to us peasants. Everyone in my real life is untalented, tone-deaf and shallow. Thank god for the internet.",@microsoft.microandsoft.for1923,2023-12-07T17:25:15Z,2023-12-07T17:25:15Z,1,so glad the internet brings quality to us peasants everyone in my real life is untalented tonedeaf and shallow thank god for the internet,0.12222222222222222,0.7841,0.7841,NEGATIVE,0.9179065823554993
😊😊ES LA MUSICA PERFECTA DE TODA LA VIDA!! UN VERDADERO GOZO !!,@user-bb1cr2xk7e,2023-12-07T16:37:45Z,2023-12-07T16:37:45Z,1,es la musica perfecta de toda la vida un verdadero gozo,0.0,0.34,0.34,POSITIVE,0.955689013004303
Beautiful ❤🧚‍♀️🎄,@lisajayneskender9606,2023-12-07T05:02:36Z,2023-12-07T05:02:36Z,3,beautiful,0.85,0.5994,0.5994,POSITIVE,0.9998807907104492
