Comment,Author,Published At,Updated At,Like Count,Sentiment_Label,Sentiment_Score
"Thanks for Sharing and Subscribing. 🙏Enjoy more Ambient Choir Music in this Playlist:<br><a href=""https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt"">https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt</a>",@AmbientMusicParadise,2023-01-29T13:39:49Z,2023-01-29T13:39:49Z,39,NEGATIVE,0.8678627014160156
🇺🇸❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😴 makes me sleepy easily,@catherineramos8371,2024-01-10T06:20:39Z,2024-01-10T06:20:39Z,0,NEGATIVE,0.9846103191375732
"I was listening to the Abby Choir &#39;Little Drummer boy&#39; , then this popped up.. Im so happy it did!!!  Merry CHRISTmas , Happy New Yr!!!!",@antifatbastard,2024-01-01T05:32:14Z,2024-01-01T05:32:14Z,1,POSITIVE,0.99983811378479
what a magic music,@sohailasohaila129,2023-12-31T22:56:18Z,2023-12-31T22:56:18Z,1,POSITIVE,0.999842643737793
"Listening at about <a href=""https://www.youtube.com/watch?v=mN6WesqrhcA&amp;t=48m50s"">48:50</a> and wondering what language the choir is singing in",@christielyons5079,2023-12-31T21:46:17Z,2023-12-31T21:46:17Z,1,NEGATIVE,0.9417909383773804
"I would have liked it better with words. Some of the music sounded like German. As a choir member, I love these traditional songs and I like to sing along. That wasn&#39;t possible.",@bonnie9511,2023-12-31T17:33:45Z,2023-12-31T17:33:45Z,1,POSITIVE,0.9643811583518982
"Why does the list not go further than the first 40 minutes? It becomes a sort quiz, not nice for ESL people",@albertvanv,2023-12-31T00:09:57Z,2023-12-31T00:09:57Z,0,NEGATIVE,0.9998145699501038
Impossible to outgrow this.  Thanks from Ireland. Nollaig Shona go léir.,@duibheasaoreilly167,2023-12-30T21:52:34Z,2023-12-30T21:52:34Z,1,POSITIVE,0.97223961353302
Soo beautiful.,@MsSouthard1,2023-12-30T18:20:47Z,2023-12-30T18:20:47Z,1,POSITIVE,0.9994268417358398
Great to listen to throughout the 12 days of Christmas  beginning after Midnight Mass on December 25th. <br>Dominus tecum!,@mottledbrain,2023-12-29T02:35:16Z,2023-12-29T02:35:16Z,2,POSITIVE,0.9983381032943726
I never knew there was so much foot work involved 🤯👍🏽,@01dimster,2023-12-28T22:35:25Z,2023-12-28T22:35:25Z,0,NEGATIVE,0.861568033695221
Praise to our God of hope in Christ Jesus our Lord of Lord&#39;s! Thank You for blessing so many with this wonderful music and vocals!,@sanfordhelmuth8600,2023-12-28T13:06:17Z,2023-12-28T13:06:17Z,1,POSITIVE,0.9998778104782104
There are no crosses on any of the churches. 😳,@BenjaminIstvanCseko,2023-12-28T09:44:23Z,2023-12-28T09:44:23Z,0,NEGATIVE,0.9974684715270996
"Sung by the ChatGTP choir? AI is taking over everything, even christmas carols....sounds nice as background music though.",@charleshultquist9233,2023-12-27T17:17:17Z,2023-12-27T17:17:17Z,0,POSITIVE,0.9990921020507812
Half to two thirds we would wit b ge ab he wit th ac ev yo welco si,@debrakatrena9767,2023-12-27T17:12:15Z,2023-12-27T17:12:15Z,0,NEGATIVE,0.9837225079536438
Nie można piękniej wielbić Narodzin Naszego Pana.,@zbigniewmilewicz8007,2023-12-26T15:25:44Z,2023-12-26T15:25:44Z,2,NEGATIVE,0.9821701049804688
"Beautiful music!!! The pro Israel ad I could have done without but, hey! It’s Yule, good will toward everyone",@BenjaminHasko,2023-12-26T02:53:36Z,2023-12-26T02:53:36Z,0,POSITIVE,0.9997991919517517
I am 80,@michaelhemkendreis432,2023-12-26T01:16:14Z,2023-12-26T01:16:14Z,0,POSITIVE,0.9972845315933228
Bas sig mas,@debrakatrena9767,2023-12-25T22:36:51Z,2023-12-25T22:36:51Z,0,POSITIVE,0.7468649744987488
MAs a1,@debrakatrena9767,2023-12-25T22:33:48Z,2023-12-25T22:33:48Z,0,NEGATIVE,0.9804287552833557
THANK YOU!!!!!!!!!!!!!!,@user-kl4hd2rz1l,2023-12-25T22:20:08Z,2023-12-25T22:20:08Z,2,POSITIVE,0.9998496770858765
"Fabulous (and interesting) arrangement of this lovely carol! Sam never disappoints! Thank you, Sam, and Merry Christmas!",@gaylesuggs8523,2023-12-25T17:02:15Z,2023-12-25T17:02:15Z,2,POSITIVE,0.9998908042907715
Lpve christmas music but what language is it?,@julianjohns2626,2023-12-25T06:04:24Z,2023-12-25T06:04:24Z,1,NEGATIVE,0.9955013394355774
Praise The Lord The Savior has been born Merry Christmas,@Slav_0282,2023-12-24T17:15:54Z,2023-12-24T17:15:54Z,2,POSITIVE,0.9997847676277161
prachtige en rustgevende muziek heerlijk om naar te luisteren MIJN  dank oprecht<br><br>GERARD JOCHES TENOR,@gerardjochems3511,2023-12-24T16:05:42Z,2023-12-24T16:05:42Z,0,POSITIVE,0.5888796448707581
Ευχαριστούμε!,@annaplessa9261,2023-12-24T03:45:54Z,2023-12-24T03:45:54Z,2,POSITIVE,0.9424110651016235
"Thank you, you made my Christmas atmosphere perfect!",@danolson6476,2023-12-23T18:52:11Z,2023-12-23T18:52:11Z,3,POSITIVE,0.9998738765716553
Love all of these songs. Merry Christmas to all. ❤,@user-er9ws3st6d,2023-12-23T07:34:35Z,2023-12-23T07:34:35Z,3,POSITIVE,0.9998844861984253
I love this classical sound!<br>The choir has beautiful singing! I’m sharing will all my Christian friends.✝️,@corneliacarden4344,2023-12-22T19:04:13Z,2023-12-22T19:04:13Z,4,POSITIVE,0.9998753070831299
Thank you.,@paulzsoka9037,2023-12-22T07:33:11Z,2023-12-22T07:33:11Z,2,POSITIVE,0.9998457431793213
"Praying for all those who, like me, are alone, no family left. May Christ be near.<br>🙏🙏🙏",@laj2240,2023-12-21T16:44:48Z,2023-12-21T16:44:48Z,10,NEGATIVE,0.9929252862930298
"Feels like Angels singing healing to us 😊<br>Praying for all of my brethren in Christ 🙏💙<br>And thank you for making this, all who were involved! 💛",@rebeccaclements2404,2023-12-21T05:35:15Z,2023-12-21T05:35:15Z,6,POSITIVE,0.9989282488822937
God bless everyone this Season 🙏  RIP James Pierce ❤😢  I wished we could have spoken to each other one last time💔 prayers for your family❤🙏 ❤,@user-xr6em4ld9n,2023-12-20T21:06:23Z,2023-12-20T21:06:23Z,1,NEGATIVE,0.9639934301376343
May God continue to bless and keep you! 😊👏🎁🎵🎶🎤,@maryrhodes9447,2023-12-20T17:32:02Z,2023-12-20T17:32:02Z,9,POSITIVE,0.9992202520370483
"Christmas🎉music brings the memory of Christ,s birth bringing joy and salvation to the world.<br>May the joy and peace of Christmas fill you and your entire house and the entire universe.<br>Emmanuel! Christ is with us",@OsendaBernard,2023-12-19T12:58:25Z,2023-12-19T12:58:25Z,1,POSITIVE,0.9998052716255188
