Comment,Author,Published At,Updated At,Like Count,Cleaned_Tweet,POS_Tags
"Thanks for Sharing and Subscribing. 🙏Enjoy more Ambient Choir Music in this Playlist:<br><a href=""https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt"">https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt</a>",@AmbientMusicParadise,2023-01-29T13:39:49Z,2023-01-29T13:39:49Z,39,Thanks for Sharing and Subscribing Enjoy more Ambient Choir Music in this Playlistbra href,"[('Thanks', 'NNS'), ('for', 'IN'), ('Sharing', 'VBG'), ('and', 'CC'), ('Subscribing', 'VBG'), ('Enjoy', 'NNP'), ('more', 'RBR'), ('Ambient', 'NNP'), ('Choir', 'NNP'), ('Music', 'NNP'), ('in', 'IN'), ('this', 'DT'), ('Playlistbra', 'NNP'), ('href', 'NN')]"
🇺🇸❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😴 makes me sleepy easily,@catherineramos8371,2024-01-10T06:20:39Z,2024-01-10T06:20:39Z,0,makes me sleepy easily,"[('makes', 'VBZ'), ('me', 'PRP'), ('sleepy', 'JJ'), ('easily', 'RB')]"
"I was listening to the Abby Choir &#39;Little Drummer boy&#39; , then this popped up.. Im so happy it did!!!  Merry CHRISTmas , Happy New Yr!!!!",@antifatbastard,2024-01-01T05:32:14Z,2024-01-01T05:32:14Z,1,I was listening to the Abby Choir Little Drummer boy then this popped up Im so happy it did Merry CHRISTmas Happy New Yr,"[('I', 'PRP'), ('was', 'VBD'), ('listening', 'VBG'), ('to', 'TO'), ('the', 'DT'), ('Abby', 'NNP'), ('Choir', 'NNP'), ('Little', 'NNP'), ('Drummer', 'NNP'), ('boy', 'NN'), ('then', 'RB'), ('this', 'DT'), ('popped', 'VBD'), ('up', 'RP'), ('Im', 'NNP'), ('so', 'RB'), ('happy', 'JJ'), ('it', 'PRP'), ('did', 'VBD'), ('Merry', 'NNP'), ('CHRISTmas', 'NNP'), ('Happy', 'NNP'), ('New', 'NNP'), ('Yr', 'NNP')]"
what a magic music,@sohailasohaila129,2023-12-31T22:56:18Z,2023-12-31T22:56:18Z,1,what a magic music,"[('what', 'WP'), ('a', 'DT'), ('magic', 'JJ'), ('music', 'NN')]"
"Listening at about <a href=""https://www.youtube.com/watch?v=mN6WesqrhcA&amp;t=48m50s"">48:50</a> and wondering what language the choir is singing in",@christielyons5079,2023-12-31T21:46:17Z,2023-12-31T21:46:17Z,1,Listening at about a href and wondering what language the choir is singing in,"[('Listening', 'VBG'), ('at', 'IN'), ('about', 'IN'), ('a', 'DT'), ('href', 'NN'), ('and', 'CC'), ('wondering', 'VBG'), ('what', 'WP'), ('language', 'NN'), ('the', 'DT'), ('choir', 'NN'), ('is', 'VBZ'), ('singing', 'VBG'), ('in', 'IN')]"
"I would have liked it better with words. Some of the music sounded like German. As a choir member, I love these traditional songs and I like to sing along. That wasn&#39;t possible.",@bonnie9511,2023-12-31T17:33:45Z,2023-12-31T17:33:45Z,1,I would have liked it better with words Some of the music sounded like German As a choir member I love these traditional songs and I like to sing along That wasnt possible,"[('I', 'PRP'), ('would', 'MD'), ('have', 'VB'), ('liked', 'VBN'), ('it', 'PRP'), ('better', 'RBR'), ('with', 'IN'), ('words', 'NNS'), ('Some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('music', 'NN'), ('sounded', 'VBD'), ('like', 'JJ'), ('German', 'NNP'), ('As', 'IN'), ('a', 'DT'), ('choir', 'JJ'), ('member', 'NN'), ('I', 'PRP'), ('love', 'VBP'), ('these', 'DT'), ('traditional', 'JJ'), ('songs', 'NNS'), ('and', 'CC'), ('I', 'PRP'), ('like', 'VBP'), ('to', 'TO'), ('sing', 'VB'), ('along', 'RP'), ('That', 'DT'), ('wasnt', 'NN'), ('possible', 'JJ')]"
"Why does the list not go further than the first 40 minutes? It becomes a sort quiz, not nice for ESL people",@albertvanv,2023-12-31T00:09:57Z,2023-12-31T00:09:57Z,0,Why does the list not go further than the first minutes It becomes a sort quiz not nice for ESL people,"[('Why', 'WRB'), ('does', 'VBZ'), ('the', 'DT'), ('list', 'NN'), ('not', 'RB'), ('go', 'VB'), ('further', 'RBR'), ('than', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('minutes', 'NNS'), ('It', 'PRP'), ('becomes', 'VBZ'), ('a', 'DT'), ('sort', 'NN'), ('quiz', 'NN'), ('not', 'RB'), ('nice', 'JJ'), ('for', 'IN'), ('ESL', 'NNP'), ('people', 'NNS')]"
Impossible to outgrow this.  Thanks from Ireland. Nollaig Shona go léir.,@duibheasaoreilly167,2023-12-30T21:52:34Z,2023-12-30T21:52:34Z,1,Impossible to outgrow this Thanks from Ireland Nollaig Shona go lir,"[('Impossible', 'JJ'), ('to', 'TO'), ('outgrow', 'VB'), ('this', 'DT'), ('Thanks', 'NNS'), ('from', 'IN'), ('Ireland', 'NNP'), ('Nollaig', 'NNP'), ('Shona', 'NNP'), ('go', 'VBP'), ('lir', 'NN')]"
Soo beautiful.,@MsSouthard1,2023-12-30T18:20:47Z,2023-12-30T18:20:47Z,1,Soo beautiful,"[('Soo', 'NNP'), ('beautiful', 'NN')]"
Great to listen to throughout the 12 days of Christmas  beginning after Midnight Mass on December 25th. <br>Dominus tecum!,@mottledbrain,2023-12-29T02:35:16Z,2023-12-29T02:35:16Z,2,Great to listen to throughout the days of Christmas beginning after Midnight Mass on December th brDominus tecum,"[('Great', 'NNP'), ('to', 'TO'), ('listen', 'VB'), ('to', 'TO'), ('throughout', 'IN'), ('the', 'DT'), ('days', 'NNS'), ('of', 'IN'), ('Christmas', 'NNP'), ('beginning', 'VBG'), ('after', 'IN'), ('Midnight', 'NNP'), ('Mass', 'NNP'), ('on', 'IN'), ('December', 'NNP'), ('th', 'NN'), ('brDominus', 'NN'), ('tecum', 'NN')]"
I never knew there was so much foot work involved 🤯👍🏽,@01dimster,2023-12-28T22:35:25Z,2023-12-28T22:35:25Z,0,I never knew there was so much foot work involved,"[('I', 'PRP'), ('never', 'RB'), ('knew', 'VBD'), ('there', 'EX'), ('was', 'VBD'), ('so', 'RB'), ('much', 'JJ'), ('foot', 'NN'), ('work', 'NN'), ('involved', 'VBN')]"
